Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
World,º World,1961,BiocapPerCap,0.0264878840655066,0,0.467548866741937,0.364910116033992,1.77877297711417,0.478144203100351,3.11586404705596,3A,null
World,º World,1961,EFConsPerCap,0.0264878840655066,0.999909669911763,0.467548866741937,0.0951544491602185,0.428530449390072,0.26412607890650514,2.281760499406461,3A,null
World,º World,1962,BiocapPerCap,0.0275487390221926,0,0.478817055403452,0.357243118756169,1.74381574575775,0.46907274613185,3.07649740507142,3A,null
World,º World,1962,EFConsPerCap,0.0275487390221926,1.02376908417819,0.478817055403452,0.0976517000638985,0.423985022317566,0.2615307861790017,2.3132996182367056,3A,null
World,º World,1963,BiocapPerCap,0.0276577061698831,0,0.47473184590649,0.349265622132778,1.70646091880882,0.458937625506117,3.01705371852409,3A,null
World,º World,1963,EFConsPerCap,0.0276577061698831,1.07498935554092,0.47473184590649,0.0988046412260806,0.419873523926548,0.26150097313428267,2.3575572297515732,3A,null
World,º World,1964,BiocapPerCap,0.0284901860194183,0,0.480773928059104,0.341764749090784,1.67307047151695,0.449919764616402,2.97401909930266,3A,null
World,º World,1964,EFConsPerCap,0.0284901860194183,1.12347002215201,0.480773928059104,0.0949709936066734,0.426621205488117,0.2546048644588841,2.408930706226701,3A,null
World,º World,1965,BiocapPerCap,0.0288357682001387,0,0.47897461076818,0.333822316885101,1.63983798330365,0.440819893385597,2.92229057254266,3A,null
World,º World,1965,EFConsPerCap,0.0288357682001387,1.16127160734666,0.47897461076818,0.100121637662098,0.423204548547949,0.25574764836823083,2.448154015546633,3A,null
World,º World,1966,BiocapPerCap,0.0304675051056437,0,0.495210813762944,0.326998788842248,1.60707855070081,0.432977000989146,2.89273265940079,3A,null
World,º World,1966,EFConsPerCap,0.0304675051056437,1.20084200469554,0.495210813762944,0.10493700920123,0.421417349034563,0.24975179246078902,2.5026254827138947,3A,null
World,º World,1967,BiocapPerCap,0.0312549457760837,0,0.499788313433842,0.319398559986777,1.57384252641239,0.424033616089632,2.84831796169872,3A,null
World,º World,1967,EFConsPerCap,0.0312549457760837,1.21075330287576,0.499788313433842,0.109825813781855,0.41912358947465,0.24933102243112318,2.5200745401832587,3A,null
World,º World,1968,BiocapPerCap,0.0319866326284605,0,0.505254331317472,0.312230855657259,1.53580850281007,0.414242413466712,2.79952273587997,3A,null
World,º World,1968,EFConsPerCap,0.0319866326284605,1.25462936519169,0.505254331317472,0.114275007923692,0.414519926854745,0.24440705837358825,2.5650718322678583,3A,null
World,º World,1969,BiocapPerCap,0.0322772519238349,0,0.505933202654209,0.303723554910684,1.49991160263054,0.403846963933502,2.74569257605277,3A,null
World,º World,1969,EFConsPerCap,0.0322772519238349,1.32226366430841,0.505933202654209,0.111161376318713,0.410879079744384,0.2379824655845669,2.620499997399825,3A,null
World,º World,1970,BiocapPerCap,0.0332893937749544,0,0.510950615516609,0.298212860721558,1.46699641659675,0.397205867963328,2.7066551545732,3A,null
World,º World,1970,EFConsPerCap,0.0332893937749544,1.42275333086298,0.510950615516609,0.11066692302806,0.411858463990987,0.23270639404003227,2.7222266348737967,3A,null
World,º World,1971,BiocapPerCap,0.0348224096502526,0,0.523339371364637,0.291819600656726,1.4341058394477,0.390182656941726,2.67426987806104,3A,null
